published_at,headline,source,description,url,neg,neu,pos,compound
2024-11-26 08:49:14+00:00,Talbot Financial LLC Increases Stock Holdings in Apple Inc. (NASDAQ:AAPL),ETF Daily News,"Talbot Financial LLC raised its holdings in Apple Inc. (NASDAQ:AAPL – Free Report) by 0.2% in the third quarter, according to its most recent 13F filing with the Securities & Exchange Commission. The firm owned 378,843 shares of the iPhone maker’s stock after…",https://www.etfdailynews.com/2024/11/26/talbot-financial-llc-increases-stock-holdings-in-apple-inc-nasdaqaapl/,0.0,1.0,0.0,0.0
2024-11-26 09:23:05+00:00,Gill Capital Partners LLC Raises Stake in Apple Inc. (NASDAQ:AAPL),ETF Daily News,"Gill Capital Partners LLC raised its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 1.4% during the third quarter, HoldingsChannel reports. The institutional investor owned 12,335 shares of the iPhone maker’s stock after acquiring an addition…",https://www.etfdailynews.com/2024/11/26/gill-capital-partners-llc-raises-stake-in-apple-inc-nasdaqaapl/,0.0,1.0,0.0,0.0
2024-11-27 08:10:49+00:00,Apple Inc. (NASDAQ:AAPL) Shares Purchased by Cwm LLC,ETF Daily News,"Cwm LLC grew its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 3.6% in the third quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The institutional investor owned 2,071,727 shares of the iPhone maker’s s…",https://www.etfdailynews.com/2024/11/27/apple-inc-nasdaqaapl-shares-purchased-by-cwm-llc/,0.0,0.761,0.239,0.296
2024-11-27 08:10:50+00:00,Apple Inc. (NASDAQ:AAPL) Position Cut by Somerset Trust Co,ETF Daily News,"Somerset Trust Co trimmed its position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 1.0% during the third quarter, according to its most recent Form 13F filing with the Securities & Exchange Commission. The institutional investor owned 55,106 shares…",https://www.etfdailynews.com/2024/11/27/apple-inc-nasdaqaapl-position-cut-by-somerset-trust-co/,0.169,0.565,0.266,0.296
2024-11-24 08:02:50+00:00,Apple Inc. (NASDAQ:AAPL) is Bath Savings Trust Co’s Largest Position,ETF Daily News,"Bath Savings Trust Co boosted its position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.2% in the third quarter, Holdings Channel reports. The fund owned 287,427 shares of the iPhone maker’s stock after purchasing an additional 650 shares during t…",https://www.etfdailynews.com/2024/11/24/apple-inc-nasdaqaapl-is-bath-savings-trust-cos-largest-position/,0.0,0.732,0.268,0.5106
2024-11-25 08:10:45+00:00,MBM Wealth Consultants LLC Raises Position in Apple Inc. (NASDAQ:AAPL),ETF Daily News,"MBM Wealth Consultants LLC raised its holdings in Apple Inc. (NASDAQ:AAPL – Free Report) by 7.7% in the third quarter, Holdings Channel reports. The firm owned 14,808 shares of the iPhone maker’s stock after purchasing an additional 1,057 shares during the pe…",https://www.etfdailynews.com/2024/11/25/mbm-wealth-consultants-llc-raises-position-in-apple-inc-nasdaqaapl/,0.0,0.738,0.262,0.4939
2024-11-25 08:10:46+00:00,Traveka Wealth LLC Raises Stake in Apple Inc. (NASDAQ:AAPL),ETF Daily News,"Traveka Wealth LLC lifted its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 2.7% during the 3rd quarter, according to its most recent disclosure with the Securities & Exchange Commission. The firm owned 24,830 shares of the iPhone maker’s stock after buy…",https://www.etfdailynews.com/2024/11/25/traveka-wealth-llc-raises-stake-in-apple-inc-nasdaqaapl/,0.0,0.714,0.286,0.4939
2024-11-24 08:02:48+00:00,Apple Inc. (NASDAQ:AAPL) is Security National Bank’s 5th Largest Position,ETF Daily News,"Security National Bank trimmed its holdings in Apple Inc. (NASDAQ:AAPL – Free Report) by 0.6% during the third quarter, Holdings Channel reports. The institutional investor owned 120,185 shares of the iPhone maker’s stock after selling 705 shares during the p…",https://www.etfdailynews.com/2024/11/24/apple-inc-nasdaqaapl-is-security-national-banks-5th-largest-position/,0.0,0.789,0.211,0.34
2024-11-24 08:02:51+00:00,Apple Inc. (NASDAQ:AAPL) Stake Reduced by Ignite Planners LLC,ETF Daily News,"Ignite Planners LLC decreased its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 11.7% in the 3rd quarter, Holdings Channel.com reports. The institutional investor owned 71,707 shares of the iPhone maker’s stock after selling 9,524 shares during the quart…",https://www.etfdailynews.com/2024/11/24/apple-inc-nasdaqaapl-stake-reduced-by-ignite-planners-llc/,0.0,1.0,0.0,0.0
2024-11-28 08:06:50+00:00,Apple Inc. (NASDAQ:AAPL) Shares Sold by Peirce Capital Management LLC,ETF Daily News,"Peirce Capital Management LLC lowered its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 27.4% during the third quarter, Holdings Channel.com reports. The firm owned 1,540 shares of the iPhone maker’s stock after selling 580 shares during the quarter. App…",https://www.etfdailynews.com/2024/11/28/apple-inc-nasdaqaapl-shares-sold-by-peirce-capital-management-llc/,0.0,0.804,0.196,0.296
2024-11-30 09:17:02+00:00,Apple (NASDAQ:AAPL) Trading Down 0.1% – Here’s Why,ETF Daily News,"Apple Inc. (NASDAQ:AAPL – Get Free Report)’s share price dropped 0.1% during mid-day trading on Thursday . The stock traded as low as $233.81 and last traded at $234.93. Approximately 33,471,141 shares were traded during trading, a decline of 43% from the ave…",https://www.etfdailynews.com/2024/11/30/apple-nasdaqaapl-trading-down-0-1-heres-why/,0.0,1.0,0.0,0.0
